Cone,Index,Height,width_Predicted
cone_0,296,1.188,2.5993682781277414
cone_0,297,1.192,2.5984209736924995
cone_0,298,1.196,2.5974736692572575
cone_0,299,1.2,2.5965263648220156
cone_0,300,1.204,2.5955790603867737
cone_0,301,1.208,2.5946317559515317
cone_0,302,1.212,2.59368445151629
cone_0,303,1.216,2.592737147081048
cone_0,304,1.22,2.591789842645806
cone_0,305,1.224,2.5908425382105644
cone_0,306,1.228,2.5898952337753225
cone_0,307,1.232,2.5889479293400806
cone_0,308,1.236,2.5880006249048386
cone_0,309,1.24,2.5870533204695967
cone_0,310,1.244,2.5861060160343547
cone_0,311,1.248,2.585158711599113
cone_0,312,1.252,2.584211407163871
cone_0,313,1.256,2.583264102728629
cone_0,314,1.26,2.5823167982933874
cone_0,315,1.264,2.5813694938581455
cone_0,316,1.268,2.5804221894229036
cone_0,317,1.272,2.5794748849876616
cone_0,318,1.276,2.5785275805524197
cone_0,319,1.28,2.5775802761171778
cone_0,320,1.284,2.576632971681936
cone_0,321,1.288,2.575685667246694
cone_0,322,1.292,2.574738362811452
cone_0,323,1.296,2.5737910583762105
cone_0,324,1.3,2.5728437539409685
cone_0,325,1.304,2.5718964495057266
cone_0,326,1.308,2.5709491450704847
cone_0,327,1.312,2.5700018406352427
cone_0,328,1.316,2.569054536200001
cone_0,329,1.32,2.568107231764759
cone_0,330,1.324,2.5671599273295174
cone_0,331,1.328,2.566212622894275
cone_0,332,1.332,2.5652653184590335
cone_0,333,1.336,2.5643180140237916
cone_0,334,1.34,2.5633707095885496
cone_0,335,1.344,2.5624234051533077
cone_0,336,1.348,2.5614761007180658
cone_0,337,1.352,2.560528796282824
cone_0,338,1.356,2.559581491847582
cone_0,339,1.36,2.5586341874123404
cone_0,340,1.364,2.5576868829770985
cone_0,341,1.368,2.5567395785418565
cone_0,342,1.372,2.5557922741066146
cone_0,343,1.3760000000000001,2.5548449696713726
cone_0,344,1.3800000000000001,2.5538976652361307
cone_0,345,1.3840000000000001,2.5529503608008888
cone_0,346,1.3880000000000001,2.552003056365647
cone_0,347,1.3920000000000001,2.551055751930405
cone_0,348,1.3960000000000001,2.5501084474951634
cone_0,349,1.4000000000000001,2.5491611430599215
cone_0,350,1.4040000000000001,2.5482138386246795
cone_0,351,1.4080000000000001,2.5472665341894376
cone_0,352,1.412,2.5463192297541957
cone_0,353,1.416,2.5453719253189537
cone_0,354,1.42,2.544424620883712
cone_0,355,1.424,2.54347731644847
cone_0,356,1.428,2.542530012013228
cone_0,357,1.432,2.5415827075779864
cone_0,358,1.436,2.5406354031427445
cone_0,359,1.44,2.5396880987075026
cone_0,360,1.444,2.5387407942722606
cone_0,361,1.448,2.5377934898370187
cone_0,362,1.452,2.5368461854017768
cone_0,363,1.456,2.535898880966535
cone_0,364,1.46,2.5349515765312933
cone_0,365,1.464,2.5340042720960514
cone_0,366,1.468,2.5330569676608095
cone_0,367,1.472,2.5321096632255675
cone_0,368,1.476,2.5311623587903256
cone_0,369,1.48,2.5302150543550836
cone_0,370,1.484,2.5292677499198417
cone_0,371,1.488,2.5283204454845998
cone_0,372,1.492,2.527373141049358
cone_0,373,1.496,2.5264258366141163
cone_0,374,1.5,2.5254785321788744
cone_0,375,1.504,2.5245312277436325
cone_0,376,1.508,2.5235839233083905
cone_0,377,1.512,2.5226366188731486
cone_0,378,1.516,2.5216893144379067
cone_0,379,1.52,2.5207420100026647
cone_0,380,1.524,2.519794705567423
cone_0,381,1.528,2.518847401132181
cone_0,382,1.532,2.5179000966969394
cone_0,383,1.536,2.5169527922616974
cone_0,384,1.54,2.5160054878264555
cone_0,385,1.544,2.5150581833912136
cone_0,386,1.548,2.5141108789559716
cone_0,387,1.552,2.5131635745207297
cone_0,388,1.556,2.5122162700854878
