image_name,cluster_label,width
final_full_stack0273.tif,0,653.0
final_full_stack0273.tif,2,670.0
final_full_stack0273.tif,1,572.0
final_full_stack0274.tif,1,572.0
final_full_stack0274.tif,2,669.0
final_full_stack0274.tif,0,653.0
final_full_stack0275.tif,0,652.0
final_full_stack0275.tif,1,570.0
final_full_stack0275.tif,2,667.0
final_full_stack0276.tif,2,667.0
final_full_stack0276.tif,0,650.0
final_full_stack0276.tif,1,571.0
final_full_stack0277.tif,0,650.0
final_full_stack0277.tif,1,571.0
final_full_stack0277.tif,2,664.0
final_full_stack0278.tif,0,651.0
final_full_stack0278.tif,2,662.0
final_full_stack0278.tif,1,571.0
final_full_stack0279.tif,0,652.0
final_full_stack0279.tif,1,570.0
final_full_stack0279.tif,2,661.0
final_full_stack0280.tif,2,660.0
final_full_stack0280.tif,1,572.0
final_full_stack0280.tif,0,652.0
final_full_stack0281.tif,2,661.0
final_full_stack0281.tif,1,572.0
final_full_stack0281.tif,0,652.0
final_full_stack0282.tif,1,572.0
final_full_stack0282.tif,0,651.0
final_full_stack0282.tif,2,663.0
final_full_stack0283.tif,0,651.0
final_full_stack0283.tif,1,572.0
final_full_stack0283.tif,2,664.0
final_full_stack0284.tif,1,572.0
final_full_stack0284.tif,2,666.0
final_full_stack0284.tif,0,651.0
final_full_stack0285.tif,0,652.0
final_full_stack0285.tif,2,665.0
final_full_stack0285.tif,1,573.0
final_full_stack0286.tif,2,664.0
final_full_stack0286.tif,0,652.0
final_full_stack0286.tif,1,571.0
final_full_stack0287.tif,0,650.0
final_full_stack0287.tif,1,569.0
final_full_stack0287.tif,2,663.0
final_full_stack0288.tif,1,569.0
final_full_stack0288.tif,0,648.0
final_full_stack0288.tif,2,663.0
final_full_stack0289.tif,2,660.0
final_full_stack0289.tif,0,648.0
final_full_stack0289.tif,1,569.0
final_full_stack0290.tif,1,569.0
final_full_stack0290.tif,0,646.0
final_full_stack0290.tif,2,660.0
final_full_stack0291.tif,0,646.0
final_full_stack0291.tif,1,570.0
final_full_stack0291.tif,2,663.0
final_full_stack0292.tif,0,645.0
final_full_stack0292.tif,1,571.0
final_full_stack0292.tif,2,664.0
final_full_stack0293.tif,1,571.0
final_full_stack0293.tif,0,647.0
final_full_stack0293.tif,2,663.0
final_full_stack0294.tif,0,646.0
final_full_stack0294.tif,2,661.0
final_full_stack0294.tif,1,572.0
final_full_stack0295.tif,0,646.0
final_full_stack0295.tif,2,662.0
final_full_stack0295.tif,1,572.0
final_full_stack0296.tif,0,648.0
final_full_stack0296.tif,2,663.0
final_full_stack0296.tif,1,573.0
final_full_stack0297.tif,2,666.0
final_full_stack0297.tif,1,572.0
final_full_stack0297.tif,0,645.0
final_full_stack0298.tif,1,571.0
final_full_stack0298.tif,0,646.0
final_full_stack0298.tif,2,665.0
final_full_stack0299.tif,1,572.0
final_full_stack0299.tif,0,647.0
final_full_stack0299.tif,2,663.0
final_full_stack0300.tif,0,647.0
final_full_stack0300.tif,1,572.0
